rating,comment_processed
1,great food service huge portion give military discount
0,would not recommend place
1,art style appearance crayon pencil drawing wonderfully colorful fanciful
0,fish badly made underwater shot repeated thousand time film
1,go watch
1,great atmosphere friendly fast service
1,movie also revealing
1,atmosphere modern hip maintaining touch coziness
1,italian reviewer called small great film right
0,simply no excuse something poorly done
1,service great even manager came helped table
0,story unbelievable actor
0,not laugh even smile
0,wouldnt see movie free
1,hot sour egg flower soup absolutely star
1,redeeming quality restaurant inexpensive
0,left stomach ache felt sick rest day
1,good year ago
1,best fish ever life
0,building seems pretty neat bathroom pretty trippy not eat
1,emily watson character strong give quick glance understand everything
1,waste money game
0,getting angry want damn pho
0,unfortunately bad movie plain bad
1,screen chemistry critical entire film genuine
0,no plot storyline
0,well would given godfather zero star possible
0,chosen tortured disgusting piece blatant american propaganda
1,however finally watching film realized not closed mind brilliance depicts also found watching
1,special thanks dylan recommendation order yummy tummy
0,not choked vomit end cheap drama worthless dialogue must bored death waste time
0,would avoid place staying mirage
0,third cheese friend burger cold
1,opportunity today sample amazing pizza
0,not make scared horrified make sympathetic towards character simply annoying
0,potato like rubber could tell made ahead time kept warmer
0,waited hour breakfast could done time better home
0,find better movie youtube
1,love place
0,poor service
1,staff great ambiance great
1,plus movie rather modest budget fast running time amazing job
1,suspense builder good cross line g pg
0,nothing privileged working eating
1,really enjoyed eating
0,disbelief dish qualified worst version food ever tasted
1,excellent restaurant highlighted great service unique menu beautiful setting
1,restaurant always full never wait
0,could barely stomach meal not complain business lunch
0,not go looking good food
1,side town definitely spot hit
0,fry not hot neither burger
1,believe pitch black done well
0,totally unfunny movie top pathetic unrealistic throughout whole minute utter torture probably looked watch time
0,rating
0,either cold not enough flavor bad
0,even billy bob not rise script worse
1,service fine waitress friendly
0,script script
1,liked
0,no plot whatsoever
0,give thumb
1,buy play enjoy love
1,keep watching
0,mistake
1,instant classic great soundtrack catchy song ending credit
1,much better ayce sushi place went vega
0,although much liked look sound place actual experience bit disappointing
1,lifetime not air enough anyone know store sell let know must
1,best service food ever maria server good friendly made day
1,place receives star appetizer
0,boring
1,service perfect family atmosphere nice see
1,duris wholesome appearance give fine performance
0,explosion gas tank end awful
1,plus well paced suited relatively short run time
0,almost song cover girl old fashioned not tuneful
0,ordered burger rare came done
0,another thing not really like character got punched face gallon blood would spew forth soon
1,track command sentiment actually contributing scene character
0,anyways food definitely not filling price pay expect
1,enough not said remarkable animation film
0,place lot promise fails deliver
1,not weekly haunt definitely place come back every
1,seriously killer hot chai latte
0,one fails create real suspense
0,one boring pointless movie ever seen
1,think robert ryans best film portrayed someone like father schizophrenic real life father although never murdered anyone affected second world war made worse
0,short not bother movie
0,film no redeeming feature
0,must night place
1,received pita huge lot meat thumb
0,hardly meat
1,vivian schilling excellent job script
0,many continuity error one user commented different car garage joe glass one got fact joe facial hair configuration seemed change scene scene
1,tried cape cod ravoli chicken cranberry mmmm
0,not good stretch imagination
1,particularly pleased acting ability dwight schultz
1,promptly greeted seated
0,rate film stink not funny fulci stayed giallo supernatural zombie movie
0,not take min pancake egg
0,acting sucked
1,not much dialogue not much music whole film shot elaborately aesthetically like sculpture
1,boyfriend came first time recent trip vega could not pleased quality food service
0,not even tell talent not pathetic line speak director gave no action
1,movie possibly one creative work horror ever
1,present idyllic yet serious portrayal ups down character life
0,fried rice dry well
1,menu much good stuff could not decide
1,steak amazing rge fillet relleno best seafood plate ever
1,rare film maker take time tell worthy moral tale care love not fall trap overly syrupy indulgent
0,whatever producer going missed entirely
0,quite disappointed although blame need placed door
0,frozen puck disgust worst people behind register
0,convoluted plot not convince much film watched weird questioning glance
0,nothing special
0,downside service
1,totally fascinated music dancing everything
0,sum film breeder terrible cheaply made horror movie avoided like ebola virus
0,place fairly clean food simply not worth
1,really recommend place go wrong donut place
0,ha long bay bit flop
0,guess maybe went night disgraceful
1,know make
1,level spicy perfect spice not whelm soup
1,cooked perfection service impeccable
1,tom wilkinson character man not prepared ordeal begin take matter hand story progress great actor give performance make feel character anguish suffering
0,got sitting fairly fast ended waiting minute place order another minute food arrived
1,really loved story line poler bear kinda cute anyone question fort steele ask away
0,movie definitely average rent
1,point finger item menu order not disappointed
1,far best cheesecurds ever
0,guess known place would suck inside excalibur not use common sense
1,food great serivce
1,music film really nice
0,dumb pointless complete waste time
1,funny
1,vanilla ice cream creamy smooth profiterole chou pastry fresh enough
1,reader already seen one miyazaki film still top form made another worthwhile experience
0,really not seem want hosting voice over monotonous not get involved guest
1,paolo sorrentino written wonderful story loneliness tony built one unforgettable character seen movie recent year
1,manna heaven terrific film predictable unpredictable time
0,lived since first last time stepped foot place
1,telephone repair man really funny reaction nut bitchy bos truly genuine
0,acting whole cast could put scale balanced perfectly overacting underacting
0,im big fan rpg game movie disgrace self respecting rpger
1,helen baxendale credible lady macbeth cheerfull time sometimes look like naughty girl deadly taste blood evil
1,not seen movie definitely recommend
1,still wild stuff though highly recommended fan giallo cinema
1,food good
1,recommend everyone love film movie anything work art
0,hell kind crap
0,otherwise not even waste time
1,awesome service food
0,huge awkward lb piece cow th gristle fat
1,movie movie situation beginning game played acting coach fascinating
1,best scene movie end not spoil
1,everyone treated equally special
1,service good company better
1,made drive way north scottsdale not one bit disappointed
0,bean rice mediocre best
1,great food price high quality house made
1,overall great experience
1,macbeth jason connery moved tear final monolog brief candle gave sphere moral decay dark force human face make interesting
1,film highlight fundamental flaw legal process not discovering guilt innocence rather present better court
1,anyway plot flowed smoothly male bonding scene hoot
1,nargile think great
0,love lane never seen movie lousy
1,not ask satisfying meal
1,service fan quick served nice folk
0,never hard rock casino never ever step forward
0,management rude
1,sweet potato fry good seasoned well
1,enjoyed reading book child little
0,not least bit interested
0,even worse ticker
0,not confirm film would unfunny generic also managed give away entire movie not exaggerating every moment every plot point every joke told trailer
1,food gooodd
0,nothing new
0,fan movie sucked really bad
0,live neighborhood disappointed not back convenient location
1,loved movie great portrayal family share ups end knew special love
0,disgrace
1,thumb
1,service fantastic
1,glad film not go obvious choice lesser film certainly would
1,star
1,good ordered twice
1,would come back sushi craving vega
0,not think redeeming quality remake
0,even stupid thought idea volcano los angeles
1,continue come lady night andddd date night highly recommend place anyone area
1,waitress good though
0,depth character man underneath
0,definitely turn doubt back unless someone else buying
1,loved grilled pizza reminded legit italian pizza
1,loved bacon wrapped date
1,food delicious spicy enough sure ask spicier prefer way
1,not spoil ending pretty amazing
0,no allergy warning menu waitress absolutely no clue meal not contain peanut
1,good film indeed great unconditional love
1,actually turned pretty decent far b list horror suspense film go
0,movie join revenge boogeyman zombiez part hellish trinity horror film
1,amazing film artist one important whoever lived
0,insult one intelligence huge waste money
1,hand favorite italian restaurant
0,burrittos blah
1,not say not like spoiler not want one believe film worth time
0,disappointing experience
1,barely boring moment film plenty humorous part
1,may say buffet pricey think get pay place getting quite lot
1,add betty white jean smart great cast everyone played part really well
0,pretty gross
1,egg roll fantastic
0,shrimp unwrapped live mile brushfire literally ice cold
1,steamboat willie amazingly important film cinema history
1,movie really got
0,food terrible
0,better bagel grocery store
1,place great
0,crash depressing little nothing provokes emotion teach nothing already know racism prejudice bad thing
1,damn good steak
1,delicious
1,one place phoenix would definately go back
1,greek dressing creamy flavorful
0,around pm bought around pm started watch around pm fast forwarded remaining film see anything left watchable human brain not
1,wind lion well written superbly acted
0,insulted
0,putting race card aside let look major flaw film destroy latifa character
1,best place vega breakfast check sat sun
0,co star not fare much better people like morgan freeman jonah hill ed helm wasted
0,not say worth hour time though
0,del taco pretty nasty avoided possible
0,problem script
0,lame would best way describe
0,wow bad film
1,staff always super friendly helpful especially cool bring two small boy baby
1,proven dead wrong sushi bar not quality great service fast food impeccable
0,menu always changing food quality going service extremely slow
1,sure order dessert even need pack go tiramisu cannoli die
0,problem thought actor playing villain low rent michael ironside
1,cool
0,bother slow service
1,inside really quite nice clean
0,everything captain howdy say either laughable plain stupid
0,usual hitchcock logic flaw
1,absolute must visit
1,still quite interesting entertaining follow
0,service beyond bad
1,hole wall great mexican street taco friendly staff
1,hawaiian breeze mango magic pineapple delight smoothy tried far good
1,great touch
1,atmosphere great lovely duo violinist playing song requested
0,overall not impressed noca
0,like building used couple location maybe poor hummh
1,time seems film animation dominated disney pixar cgi masterpiece refreshing comforting know miyazaki still relying traditional hand drawn animation tell charming enchanting story
1,think must see older john wayne film
0,brain attempt shut part primal impulse self preservation
0,nothing believable
1,wonton thin not thick chewy almost melt mouth
1,nice blanket moz top feel like done cover subpar food
1,predictable not bad watch
0,jerky camera movement also annoying
1,masterful piece film making many theme simmering occasionally boiling wart study poet bohemian self indulgent wartime year span aerial bombardment london outward tranquillity welsh coastal retreat borderline friendship lust love dedication art experience versus practical concern jealousy rivalry cowardice egotism versus heroism self sacrifice
1,miss wish one philadelphia
0,everything stink
0,time film ended not disliked despised
0,tried like place time think done
0,service terrible food mediocre
1,yet enjoy watching
0,movie really pi ed
1,give one look
1,movie cutting edge
1,delicious absolutely back
1,last night second time dining happy decided go back
0,probably not coming back
0,look authentic thai food go else
1,jalapeno bacon soooo good
1,love place
1,ribeye steak cooked perfectly great mesquite flavor
1,never anything complain
0,camerawork bad
1,courtroom drama compelling indictment american justice system frightening
0,yes simplifying thing sake brevity really core problem film much going without real fulfilling explanation
1,first crawfish experience delicious
0,mediocre every aspect becomes dull uninteresting mess one forgettable movie seen
0,worst thai ever
0,lead man charisma free
1,fresh subtle rather sublime effect
0,worst sushi ever eat besides costco
1,happy wonderful feel good ending
0,really not see anyone could enjoy movie
0,boy sucker dry
1,movie edge seat made somewhat afraid go car end night
1,chip salsa really good salsa fresh
0,bar vega not ever recall charged tap water
0,real effect work presence animal integration scene worst obvious blue green screen work ever seen
1,great food
0,boring
0,worst food service
0,thought bad
1,waiter attentive friendly informative
0,attached gas station rarely good sign
0,film made
1,set especially designed work camera amazing stylized beautiful effective
1,brilliant
0,warm beer not help
0,no going eat potato found stranger hair
0,really awful
0,waiting hour seated not greatest mood
1,forgot casting superb trond fausa aurv g perfect role bothersome man not understand
1,loved really scary
1,staff attentive
1,first vega buffet not disappoint
1,first time going think quickly become regular
0,go gave star rating please know third time eating bachi burger writing review
1,mark word one cult film like evil dead phantasm people still discovering falling love year line
0,first bathroom location dirty seat cover not replenished plain yucky
1,salad right amount sauce not power scallop perfectly cooked
0,nobody identifies character cardboard cutout stereotype predictably reverse stereotype
0,not believe actor agreed film
1,truly unbelievably good glad went back
1,first watched movie loved
1,deeply impressed character played
0,definitely one bad one
0,waited waited waited
0,iq particularly stupid mollusk not see one coming
0,may bad film ever made
1,extremely tasty
0,nothing recommend
0,piece trash ever released beyond acting story character supposedly special effect etc wrong
1,back many time soon
0,casting also horrible cause see really really bad actor period
1,drink never empty made really great menu suggestion
1,cinematography simply stunning say least fx nothing not state art
1,cant explain movie romantic charming hilarious adorable junkyard scene funny junkyard dog something special funny laughed kid love buy come new feature
1,great
0,server not pleasant deal not always honor pizza hut coupon
1,guy steak steak loving son steak best worst place said best steak ever eaten
1,service also cute
1,fact going round star awesome
1,really vega fine dining used right menu handed lady no price listed
1,garbo showed right bat talent could carry silent era wanted see silent work netflix not seem stocking
1,educational child year old
0,oh yeah storyline pathetic
0,worst experience ever
0,time bad customer service
1,great place couple drink watch sporting event wall covered tv
1,think tom hank good actor
0,needle say never back
1,always great time do gringo
1,good though
1,wonderful inspiring watch hope get released video dvd
1,summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser
0,not like
1,rickman stowe play role hilt tale childrens book writer maybe written subversive tract
1,service quick even go order like like
1,fact liked better interview vampire liked lestat stuart townsend better cruise attempt
1,say dessert yummy
0,cheap cheerless heist movie poor characterisation lot underbite style stoic emoting think chow yun fat better tomorrow cheesy clich thrown abandoned factory ready poorly executed flying judo roll la john woo
0,overpriced getting
1,movie not completely perfect notitta di girolamo stay long time vision movie
1,lunch great experience
0,think restaurant suffers not trying hard enough
0,not hard make decent hamburger
0,definitely not worth paid
0,movie pure disaster story stupid editing worst seen confuses incredibly
0,utterly without merit level akin torture
0,ambiance not much better
0,foreigner not worth one second time
0,dee snider plain suck
1,hard not fall head heel love girl
1,one best bar food vega
1,popular cinema good house good reaction plenty laugh
1,staff great food delish incredible beer selection
1,looked like wonderful story
0,tough short flavor
0,place good film garbage
0,could not stand even watch long fear losing q
1,mostly routine fact based tv drama get boost fine performance cole
1,good value great food great service
0,highly unprofessional rude loyal patron
0,premise sound stupid
0,line seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk
0,horrendous
1,strawberry tea good
0,gyro basically lettuce
1,warm feeling service felt like guest special treat
1,plus buck
1,place hand one best place eat phoenix metro area
1,film dialogue natural real life
0,uneasy bad movie not scared
1,pizza selection good
0,never going back
1,fantastic service pleased atmosphere
1,give one resounding
0,like bad two hour tv movie
1,ordered duck rare pink tender inside nice char outside
0,food barely lukewarm must sitting waiting server bring u
0,describe painfully dreary time waster film
0,terribly disappointed film would receive many award accolade especially far deserving work film
