rating,comment_processed
0,buyer beware could flush money right toilet
1,definitely bargain
1,price good free shipping good purchase
0,received supposedly new motorola apparently not match phone charger
1,pro good camera nice picture also cool style like black white
0,huge design flaw unless not using correctly not think case
1,love headset jabra bluetooth headset great reception good ear piece comfortable fit
0,camera although rated impressive megapixels render image fall well expectation relatively high resolution
0,purcashed car charger not work
1,sound quality end excellent use headset call wife ask wife use headset call
1,phone slim light display beautiful
1,little geeky think thats sex toast rock ooze sex right battery embedded sleek stylish leather case
1,great product fast shipping
1,absolutely great
1,keyboard nice compromise full qwerty basic cell phone number keypad
0,got phone around end may completely unhappy
1,comfortable ear
1,winner u
1,setup not simpler
1,tried several different earpiece cell phone jabra one first one found fit ear comfortably
0,could not get strong enough signal
1,iam pleased purchase
0,bad quality
1,get job done
1,great audio
0,basically service bad
0,not work cell phone plug set charger
1,bluetooth week really like
0,bt headset disapoinment
1,small not even realize getting used
1,accompanied software almost brilliant
1,headset work great packaged nicely avoid damage
1,definitly recommend
0,buyer careful
0,majority logitech earbud headset failed
1,good stuff price
1,headset work peachy keen
0,house getting dropped coverage upstairs no coverage basement
1,voice recognition tremendous
0,waste
0,several different minute call experienced drop area bar
0,not happy item
0,disappointed
0,phone take forever charge like hour literally
1,got phone reccomendation relative glad
0,waste time
0,reception poor
0,item stated included description not included
0,month screen went black sudden
0,hoping
0,audio quality poor poor
1,absolutely no problem headset linking blackberry curve
1,know sound funny seemed like sketchy technology not work well well one work great
0,bought wired headphone sound better
1,phone fast sending kind message web browsing significantly faster previous phone used
1,nice quality build unlike cheap
1,item fantastic work perfectly
1,love color
1,w superb
0,whine internet go use thing le like
1,great charger
0,essentially communication tool not communicate
1,work like charm work one got phone
0,still maintain monkey not make headphone obviously not share enough dna copy design human
1,great value
0,not work bougth l c not working
1,look sharp screen nice clear great graphic
0,not last long
0,one thing hate mode set button side
1,excellent service
0,thank wasting money
0,audio quality poor
1,igo charger tip really great
1,file browser offer option one need handsfree great
1,superb phone great network
1,connected wife bluetooth motorola h phone worked like charm whether phone pocket case
0,put latest o v g like slow crawl lock every
0,recognizes phone storage device
0,like loud buzzing override conversation phone
0,not buy product
0,bluetoooth headset time still not comfortable way fit ear
1,sound quality good functionality awesome
0,phone thorn side really abhor
0,recently problem could not stay connected minute disconnected
1,incredible
0,design flaw
1,great phone
0,waste buck
0,check voice mail night keypad backlight turn second first message lost
0,replacement died week
1,ring tone overall good phone buy
1,lately extremely nice helpful phone
0,problem wit hit dropping signal
0,not impressed
1,light weight hardly notice
1,love thin
0,bad choice
0,pleather case not fit
0,useless phone simply deaf
1,color even prettier thought would graphic incredibly sharp
1,think good investment
0,make strange ticking noise end call
1,best electronics available fm transmitter
0,battery last hour
1,great headset impressed h
1,mega pixel camera part phone reasonably good
1,nearly year worked great
1,good transmit audio
0,sending back
0,not bother contacting company dollar product learned lesson not bought form online anyway
0,hate earbugs avoid phone mean
1,great price also
1,range decent able roam around house phone living room no reception sound quality issue
1,fast service
1,would highly recommend
1,would recommend
0,also not like button felt like would crack use
0,worst phone ever
1,still infatuated phone
0,freeze frequently
0,kind embarrassing use look mostly embarrassing child like company
1,simple lightweight great fit
0,expected better consumer experience motorola
0,horrible tick sound background call never experienced
1,certainly comfortable functionality decent
1,usually not like headband one lightweight not mess hair
0,bit disappointed
0,phone year tell not great
0,ordered sony ericsson w think worked thats first used
0,battery completely useless
0,big waste time
0,not waste one
1,great sound service
1,really pleased product far
1,one favorite purchase ever
1,best bluetooth market
1,authentic leather nice shine comfort recommend case
1,excited get headset thought really cute
0,not make mistake
0,big disappointment calendar sync
0,phone unusable not new
0,worst customer service ever
0,no additional ear gel provided no instruction whatsoever
0,defeat purpose bluetooth headset
1,worth every penny
1,excellent wallet type phone case
1,nice headphone price work great
0,internet excrutiatingly slow
1,comfortable wear well probably important aspect using case
1,fit like glove strong secure durable
1,gosh best phone ever
1,attractive appears good quality
1,love feature form factor
0,product strong rubber petroleum smell unbearable caused return
0,poor quality service
0,cable look thin flimsy scary
1,great earpiece
1,excellent hand free tool
1,great using home stereo
1,good product incredible value
1,month worked flawlessly far
1,work great
0,absolutel junk
0,one not work either
1,battery life real good
0,returned hour later
1,great item
0,not waste money
1,love headset
0,not drain player may also potentially fry
1,worked perfectly
0,unreliable giving
1,gave star sound quality
0,avoid one
1,reversible plug work great
0,wasted little money earpiece
1,good phone
1,best rotating feature helpful
1,comfort whole family
1,good product good seller
1,love bluetooth
0,first not wear well
1,impressed headset plantronics
1,got small adorable
1,great phone
0,not recommend buying product
0,piece junk
0,poorly contstruct hinge
1,item great installed let charged overnite working good every since no problem
1,great phone
0,not buy
1,excellent phone
0,not purchase phone
1,voice recognition thru handset excellent
1,hand best phone ever
1,work great cat attacked phone scratched protective strip instead destroying screen
1,one work priced right
0,customer service terrible
0,battery life still not long enough motorola razor v
0,sending back
1,know made wise decision
1,someone shouldve invented sooner
1,good price
1,everything worked first try device certainly engineered clever way construction feel good
1,received quickly work great
1,working great
0,many people complained found headset microphone weak
0,year old nokia tracfone hold charge lot better
0,not care consumer one bit
1,good battery got really fast
0,instruction manual lacking
1,also slim enough fit alarm clock docking station without removing case
1,phone hold charge like new
0,battery unreliable well service use antena
0,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg
1,gotten lot compliment
1,definitely must state not allow cell phone usage driving
0,want money back
1,love device
1,also happy price
0,ordered product first unhappy immediately
0,ngage still lacking earbuds
1,able voice dialing car no problem
0,bar cell phone home cant not hear anything
1,good item low price
0,however riingtones not best neither game
0,plug not work well
0,amazon suck
0,rip charge shipping
1,comfortable
1,battery working well replacement original came phone year ago
1,reception excellent
1,fit comfortably either ear sound clear loud charge last couple day
1,clear quality sound not mess sound ipod since sound button headset
0,long lasting battery not recharge frequentyly flip phone
0,obviously problem adhesive
0,disappointing
0,inexpensive piece would still expected better quality
0,practically useless not add kind boost reception bought
1,excellent sound quality
0,not happy
0,piece junk broke phone day
1,new battery work great phone
0,worst customer service
1,dropped phone time say even concrete phone still great knock wood
0,reception terrible full static
1,good audio quality
1,little device transformed organizational capability made life whole lot easier
0,sitting vehicle cradle belt headset lost signal
0,jerk phone
1,work like charm work advertised
1,comfortable nice range good battery life
0,network coverage los angeles horrible
0,excellent starter wireless headset
0,loudspeaker option great bumper light appealing
0,thing think could improve sound leak headset
0,first reception suck never bar ever
0,phone get extremely hot
1,microphone also work well according people called applifies everything
1,nice design quality
0,also phone dropped case not going save specially dropped face
1,light easy use clear reception transmission
0,bad fit way big
1,definitely not good
1,awesome device
0,waste money
1,ordered motorola data cable got well finished working product
1,love phone
1,looking headset long time got not happier
0,drivng along headset start ringing no reason
1,display excellent camera good year
1,battery life also great
0,worst phone ever month
0,not good item worked started problem auto reverse tape player
0,embarassing also ear hurt try push ear plug ear
1,protects phone side
0,average phone bad battery life operates weak network
1,clear skype call long battery life long range
0,soyo technology suck
1,great hand free device
1,even take self portrait outside exterior display cool
0,problem others mentioned
1,trying many many handsfree gadget one finally work well
1,magical help
0,worst piece crap ever along verizon customer service
0,poor sound quality
1,best phone market
1,worked well
1,company shipped product promptly work well
1,exactly wanted
0,picture resolution far comparably priced phone offering today
1,great deal
1,excellent product satisfied purchase
1,highly recommend encourage people give try
1,better expect
0,using earpiece left right thing not stay ear
1,great product price
1,sound good reasonably priced effective simple
0,still waiting sure item would work well ever recieve
0,disappointment
1,prompt service
1,excellent product price
1,pleased headset
0,not waste money time
1,especially love long battery life
0,stupid keep buying new charger car charger cradle headphone car kit every time new phone come
1,work great
1,plantronics bluetooth excelent buy
0,came verizon cingulair nicer cell phone first thing noticed really bad service
0,looking new earpiece
1,highly recommend device everyone
1,jawbone era awesome
0,received white colored battery go dead couple hoursthe original used last week still last longer thereplacement
0,year battery went completely dead headset
1,used several phone two year one best
1,awesome new look fall
0,first phone cheaply made
0,att not clear sound distorted yell talk
0,plastic break really easy clip
1,price good
0,not make mistake
0,oh forgot also mention weird color effect phone
1,using iriver spinn case fit fine
0,also area unit broke not fond magnetic strap
1,overall psyched phone appointment contact get great reception
1,every thing phone work perfectly like
0,another note phone appearance really look rather bland especially black model
1,really easy
1,sanyo survived dozen drop blacktop without ill effect
1,fantastic earphone
1,find cell phone right away enter car
0,low quality
1,highly recommend modest priced cellular phone
1,get better reception clarity phone
0,warning stay away
0,wish could return unit get back money
1,awsome device work great
0,used talk hour battery would literally drained dying
0,not find bad unit come one earpad would not recommend anyone
0,displeased
0,might gotten defect would not risk buying built quality alone
0,made case small difficult install
1,restored phone like new performance
1,would recommend purchasing jabra jx series work flawlessly moto q go figure
1,searched internet found one best value
0,not fit
1,happy product
1,screen size big key pad lit well enough camera quality excellent camera phone
0,really nothing bad say headset
1,glad found product amazon hard find not high priced
1,portable work
1,colleague get great reception little expensive performance great
0,even fully charged went bed turned blue tooth wi fi noticed left morning
0,also problem phone reading memory card always turn
0,not good wearing hat sunglass
1,timely shipment quality product
1,nice solid keyboard
1,well made fit surefire gx perfectly
0,horrible phone
0,bt battery junk
1,would recommend others
0,cant get software work computer
0,disappointed
0,poor voice clarity
1,battery work great
0,no buyer remorse one
0,disappointed accessoryone
0,find inexcusable probably returning phone perhaps changing carrier
1,look great strong
1,tmobile service year pretty happy
0,update procedure difficult cumbersome
0,disappointment hate anything go ear
1,great software motorolas
1,delivery time
1,easy use
0,uncomfortable ear not use lg vx env
0,volume switch rocketed unit destination unknown
1,hold charge long time reasonably comfortable long wearing condition quality sound tremendous
0,like return
1,keyboard really worthwhile usefulness sturdy enough not expect problem
0,verizon bill however difficult understand even though pricing plan simple
1,charging overnight battery work great
1,not regret
1,love phone
0,disappointment
0,not user friendly
0,unfortunately ability actually know receiving call rather important feature phone pitiful respect
0,exchanged phone even problem
0,result phone either stuck max volume mute
1,pda rock
1,super charged use small hybrid palmtop camera cellphone excels role
1,would definitely recommend jabra bt v looking comfort clarity great price
1,verizon year ago really liked service
0,pretty piece junk
0,plug wrong size
1,work described
0,save money item month
0,bad purchase
1,well im satisfied
1,bose noise cancelling amazing important nyc commuter
1,battery excellent bargain
0,defective crap
0,would given no star able
1,wear glass fit fine
0,sound quality device unacceptable unless really quiet area almost hear nothing
0,would not recommend item anyone
0,holster arrived not match photo ad
1,great no problem
0,earlier review noted plug charger nothing happens
1,frog phone charm adorable eye catching
0,never know pushed hard enough right number time function want not
1,sound clear people talk amazed quality
1,got aluminum case new palm vx worked really well protected handheld perfectly far
1,good product well made
1,mobile phone tool must
1,impressed job motorola sturdiness phone
1,received order well within shipping timeframe everything good working order overall excited source
1,phone sturdy waterproof
0,not impressed would not recommend item anyone
0,complaint standard sound volume little low even turned
1,thanks amazon thing need good price
1,ended sliding edge pant back pocket instead
1,go store bought new nokia phone working great
1,work great
0,really ugly
0,horrible switch time
1,noise shield incrediable
0,no real improvement
1,razr battery good buy
1,keep good work amazon
0,refuse refund replace
0,unfortunately easy accidentally activate gentle touch button accidentally touch phone face listening
0,basically threw money window nothing
1,great case price
0,took one drop inch kitchen counter cracked not impressed not laughing
1,bluetooth range good day ago left phone trunk got call carried conversation without hitch
1,small sleek impressive looking practical setup ample storage place
1,eargels channel sound directly ear seem increase sound volume clarity
0,none new one ever quite worked properly
1,glad purchased
0,missed numerous call reason
0,perhaps phone defective people not hear use
0,not buy product
0,sucked stuff not work phone
1,no shifting no bubbling no peeling not even scratch nothing not happier new one droid
0,worst software ever used could give zero star would
0,trying make call exercise frustration
0,case flimsy piece plastic no front side protection whatsoever
1,jabra earset happy sound quality especially outgoing better
1,love camera really pretty good quality
1,thank great service
1,total package
1,seller understanding patient would definitely buy
0,give wirefly star contact cingular inform practice
0,aggravating
1,great product price
1,purchased family friend enjoy clarity ease use
1,virgin wireless rock cheap little phone
0,none work not buy
0,muddy low quality sound casing around wire insert poorly super glued slid
0,please dont waste money
1,quite satisfied purchase
0,looking good quality motorola headset keep looking not
0,yet plantronincs continues use flawed charger design
0,disapointing result
0,cumbersome design
1,great new packaged nice work good no problem came le time expected
1,great product
0,piece crap
0,experience terrible fourth bluetooth headset much comfortable last jabra hated
1,fix problem
0,worst ever
1,happy
1,no trouble accessing internet downloading ringtones performing function
0,barely ever hear constantly saying
0,battery life highly unacceptable
0,company joke
1,everything description said would
0,due happening every call forced stop using headset
1,work great car charger especially not plug two adapter time
0,verizon tech support walked procedure none worked ended hard set wiping data
0,voice quality signal strength dropped call
1,play louder speaker size price low would think quality lacking however not
1,better expected
0,feel poorly constructed menu difficult navigate button recessed difficult push
1,battery holding well
0,also difficult put recommend avoiding product
0,used two day not always easy hear
0,got car charger not even week charger broken went plug started smoking
0,sprint terrible customer service
1,linked phone without effort
1,cool
1,easy use
1,better new
0,possesed get junk no idea
0,piece trash
1,pretty good product
1,great phone
1,price amazon excellent product would highly recommend
1,research development division obviously know
0,real killer volume course breaking
1,phone working fine
1,happy product
0,poor construction
0,infuriating
1,overall would recommend phone new walkman
0,sprint charge service
0,cheap feel look cheap
1,fit ear well comfortable
0,not work europe asia
1,clipping belt deffinitely make feel like cent coming
1,like design look jabra behing ear headset pretty comfortible wear hour day without pain ear
1,amazed quick arrival two original lg cell phone battery fraction price
0,worst phone samsung crap crappy samsung e worst ever seeen
0,charger worked week completely stopped charging phone
0,poor product
0,however needed better instruction
0,need two hand operate screen software interface decade old not compete new software design
1,worked well paired treo w skype headset pc using usb bluetooth transceiver
0,steer clear product go genuine palm replacementr pen come three pack
0,not buy not buyit suck
1,great product sure beat using finger
0,plus seriously not believe worth steep price point
1,case tried normally fall apart month one seems long haul
0,dissapointing performance
0,not make mistake please not buy phone
0,phone might well worst ever brand
0,case le extra originally put later discarded scratched ear
1,recommend igo anyone different brand cell phone mp player family
0,not bother go store
1,posted detailed comment grey black phone fire red great color
1,not problem item would order needed
0,get pay guess
1,not software great job could also make ringtones form existing cd without internet connection
1,im surprised good quality car charger not much review
1,fabulous
0,however bt headset currently not good real time game like first person shooter since audio delay mess
1,used bitpim free program find internet transfer data phone price cable excellent
0,disappointing accessory good manufacturer
0,performed awful muffled tinny incoming sound severe echo end call
1,wind resistant
0,obviously terrible customer service get pay
1,not last forever not overly expensive replace easy operate sound much better others tried
0,contacted company told although unit still warranty not produce receipt luck
0,linksys way exchange bad phone refurb unit something
1,phone sturdy nokia bar phone
1,great phone
0,placed treo case not not snug lot extra room side
1,pleased
0,battery terrible
1,found product easy set use
0,earpiece large heavy keep falling ear
0,utter crap sound quality terrible
0,charger arrived within promised timeframe not work
1,no ear loop needed tiny sound great
0,finally three four time spring latch broke could not use longer visor
1,handsfree part work fine car try download address book treo reboots overall still rate device high
0,talk useless customer service
0,felt light tinny
0,not fit palm tungsten e broke first time tried plug
1,happy purchase good quality low price
1,love look feel samsung flipphones
1,well designed sharp blue nice color
1,everything
0,could not recommend
1,nice sound
0,look good picture case huge disappointment
1,much le jawbone going replace
1,setup went smoothly
0,extremely slow take forever anything
0,must study anyone interested worst sin industrial design
0,first thing happened tracking
1,well made easy access phone handy detachable belt clip
0,continue pairing periodically since somehow kept dropping
0,not upload ringtones third party
0,bluetooth not work phone lock screen flash make call randomly pocket locked
0,truly awful
1,work fine motorola cellphone lot better worn battery
1,volume ringer real good choice loud
0,none tone acceptable
0,camera color balance awful
0,product clearly not ready prime time not care cool look not tell call coming worthless
1,love ringtones upbeat
0,chinese forgery abound
1,easy pair samsung cell
0,instruction not explain microphone jack could used
0,would advise not purchase item never worked well
0,bad pay month service
1,work well
0,nokia ca usb cable not work phone
1,clear crisp sound
1,use smallest earpiece provided stay pretty well
0,biggest complaint battery drain superfast
0,design might ergonomic theory could not stand ear
0,not buy want use holster
1,phone also take great picture even video clip
0,not make look cool
1,ear occupied background not distracting
1,comfortable fit need headset comfortable least hour time not entire day
0,also phone not seem accept anything except cbr mp preferably ripped window medium player
1,not beat price
1,come strong light use light camera shot even flash so signal seriously
1,lightweight work well
0,beware
1,love cable allows connect mini usb device pc
0,anyone near hear part conversation
1,cool case open allowing screen get scratched
0,bought phone replacement startac regretted since
1,appears actually outperform original battery china came v
0,not store anything phone number sim
0,last le minute actually try use phone wife phone problem
0,poor quality
1,jabra ear gel r best
0,not worth
0,phone crashed completely get replaced
1,quit working used month purchased another one best headset ever owned
0,unfortunately not recharge iphone despite connecting multiple power source imac external battery wall outlet etc
1,great phone
0,simply want small flip phone look elsewhere extra bell whistle mediocre
1,good value work fine power via usb car wall outlet
1,phone not slide around car grip prevents phone slipping hand
1,simply best bluetooth headset sound quality
0,think plan one sure last moto phone
1,span hour two people exclaim whoa new phone tv
1,always used corded headset freedom wireless helpful
1,case passed one year mark show sign wear functional
1,leather nice soft fit tight cut face good shape
1,everything need not ask
0,receiving using product day broke
1,product great make working lot easier go copier waiting hold something
0,none three size sent headset would stay ear
1,mobile best customer service anywhere
1,arrived quickly much le expensive others sold
0,tried unit failed within month pro
1,provides good protection look classy
1,krussel always good
1,tracfonewebsite user friendly make easy toactivate etc
1,design good
1,great reception time
1,would highly recommend product
0,not use unit sunglass not good texas
0,dit not work time nokia
0,bought mainly charger broke soon purchasing
0,like loud buzzing override conversation phone
1,fantastic buy get whatever next phone
0,stay away store careful
1,blueant supertooth hand free phone speaker awesome
0,not fit
1,item arrived quickly work great metro pc samsung sch r slider phone sony premium sound ear plug
1,light plenty battery capacity confortable wear somewhat extended period time
0,disappointing
1,blue ant easy use
1,cheap hey work pleasantly suprised given low cost item
0,camera phone may used dustpan indoors rather using disposable
0,day later puff smoke came phone use
1,convenient simple use get job done make car ride much smoother
0,nano stated son dissapointed
1,sound quality excellent well
1,best headset used
0,would not reccommend
1,around year carry highest quality anti glare screen protector found date
1,wanted
0,particular model would not work motorola q smartphone
0,wont work right atleast
0,addition feel amp look phone lightweight cheap plastic
0,warranty problem reoccure bottom line put money somewhere else cingular not support
0,really wanted plantronics right one many issue good
1,great product
1,crisp clear
0,first charge kept going dead minute
0,cheap plastic creak like old wooden floor
0,get absolutely horrible reception apartment phone not problem
1,reception generally good
1,excellent sound battery life inconspicuous boot
1,great bluetooth
1,highly recommend case
1,worthwhile
1,great deal
0,phone got year old slowly breaking despite much care part
0,sorry made purchase
0,bought hoping could make bluetooth headset fit better thing made impossible wear
0,treo mobile refused replace forced buy another phone without kind upgrade discount
0,horrible
0,not think would hold securly belt
0,allows possibility double booking date time first
0,work week break
1,simple use like
1,great tool entertainment communication data management oh sure use activesync optimal data synchronization result
0,not use case smell disgusting
0,not wanted
1,case would order another
1,great phone
1,bought battery coupon amazon happy purchase
0,internet access fine rare instance worked
1,perfect p
1,five star plus plus
1,good quality bargain bought bought cheapy big lot sounded awful people end not hear
0,drain
0,tried talking real loud shouting telephone get old still told not great
1,good work fine
1,price great deal
1,great price
0,wind completely useless
1,yes shiny front side love
0,not work
0,first thought grtting good deal plugged phone v c razr
1,reception headset excellent
1,thumb seller
1,verizon lg phone work well together good reception range exceeds foot line sight
0,improper description return
1,work comfortable
1,battery charge life quite long
1,jabra eargels fit ear well
0,battery no life
0,checked everywhere no feature really disappointing
1,product exactly described
1,get signal verizon phone not
0,not job
1,would recommend
1,plan ordering
1,said phone camera nice many cool effect play video decent well
1,satisfied cell phone day one
1,keep getting better better third one numerous palm
0,awkward use unreliable
1,shipping time also quick
0,not good hoped
1,good case
0,not work
1,really good product
0,unfortunately not work
0,three broke within two month use
0,dont buy
0,father v battery dying
0,however ear pad come easily one week lost one
0,call drop phone come screen go black worst stop ringing intermittently
0,horrible horrible protector
0,not like nokia either
0,reaching bottom row uncomfortable send end key not expect
0,bought nokia cell phone week ago nightmare
0,would take long describe bad customer service experience amazon
0,disappointing thing no speakerphone
0,terrible car not accept cassette
0,product useless since not enough charging current charge cellphone planning use
0,not say
0,stay away q
0,used dirty
0,unreliable service mobile
0,not good enough price
0,bought two neither charge
1,look nice
1,excellent tool especially paired phone auto answer
1,read review not problem
0,product cover important light sensor ear outlet
1,comfortable hand
0,not work
0,poor reliability
1,work
0,take picture battery drop bar start beeping letting know dieing
0,terrible product waste money
0,last time buying
0,waste money
1,far worked like charm
1,week far good
1,case best part download picture laptop using ir even send picture laptop phone
1,would recommend item
1,choice headset year great sound good volume good noise cancellation
1,nice case feel good hand
0,item received counterfeit
1,really good far probably best bt headset ever
1,work fine
1,received headset good time happy
1,pleased see could replace well travled swivel holster blackberry flip
1,sister one also love
1,good quality
0,far worst purchase made amazon
1,excellent dual purpose headset
1,excellent
0,not work listening music cingular
1,seems completely secure holding belt keeping iphone inside
0,bottowm line another worthless cheap gimmick sprint
0,trouble volume
1,good thing fit comfortably small ear
0,warning not buy
1,pairing iphone could not happier far
0,open battery connection broken device turned
0,not want clip going top ear causing discomfort
1,best headset ever
0,not trust website not expect helpful support
1,loud glad say plantronics maintains flawless connection cell no static normal use
0,speaker low quality making ring tone sound cheap
1,fit comfortably came three size earbud tip
1,excellent product price
0,bad reception
0,product high quality chinese crap
1,quite comfortable ear
1,great phone
0,not buy product fails
0,everything product wrong first
1,pairing two device easy barely took couple minute started making call voice dialing feature
0,utterly confusing first caused lose couple important contact
0,terrible phone holder
1,cutout button placed perfectly
1,love able use one headset land line cell
0,problem ear loop made weak material break easily
0,not nearly good looking amazon picture make look
1,despite flaw case exceptional quality well worth additional cost owning official oem product
0,stupid
1,hear driving car usually not even put loudest setting
1,seller shipped quickly much cheaper competitor
1,good show samsung
1,bought saved alot money
0,always cut make beep beep beep sound say signal failed
0,not figure
0,phone sounded ok not great ok wife phone almost totally unintelligible not understand word said
0,take battery phone put back together restart
0,managed bend leaf spring back place metal enough stress break next drop
1,leopard print wonderfully wild
1,work
0,saggy floppy piece junk
1,much better hard plastic case
0,also new problem
1,happy far
1,cool phone
1,work good
1,motorola finally got voice quality bluetooth headset right
0,loos connection phone even within couple foot two
1,great would really recommend
0,make easier keep bluetooth not wearing
0,said pretty useless
0,never got
0,pair headphone worst ever sound wise
0,drain weak snap
0,not charge cingular att phone
1,get extra minute carry call not get cut
0,however year fliptop started get loose wobbly eventually screen went black not receive place call
0,kept catching cable seat pull phone turn
1,headset fulfills requirement happy purchase
1,logitech bluetooth headset
1,like fact rest lightly ear rather inside
1,lot website rating good phone
1,tried cable computer ipod work fine
0,mic joke volume quite low
0,returning
0,not maintain connection computer lap
1,easy turn car volume control quite accessable
1,mine year christmas bought rest family
1,otherwise easy install use clear sound
1,nice leather
0,purchase different case
1,joy use
0,much disappointed company
1,satisifed
0,not charge
1,phone get bought say wow
0,button small
1,reading spec alone make say wow
1,love great armband
1,really like product motorola allot clearer ear piece mic
0,however keypad tinny sometimes reach wrong button
1,exchanged sony ericson z pretty happy decision
1,impressed price case
1,also make easier hold
1,use product motor control center lot high voltage humming equipment work great
1,pretty easy
0,not make call certain place
0,however girl complain time phone not wake like normal phone
1,beautiful styling though
0,company charge restocking fee still not given refund back
0,trying return refund
0,plugged find not darn thing worked
1,excellent product
0,earbud piece break easily
0,lousy product
0,phone try hard everything fails ability phone
1,best charger seen market yet
1,sweetest phone
1,oh charger seems work fine
1,fit securely ear hook not even need used sound better directed ear canal
0,not enough volume
0,echo problem unsatisfactory
0,could take video time quality poor
0,not waste money
0,going first negatively review product
0,adapter not provide enough charging current
0,much hype phone assumed best mistake
0,also not take picture case lense covered
0,phone fall easily
0,not work people not hear talk
0,text messaging feature really tricky use
0,really disappointed charger not work
0,painful ear
0,lasted one day blew
0,disappointed
0,kind flop around
0,screen get smudged easily touch ear face
0,piece junk lose call phone
0,item not match picture
0,thing disappoint infra red port irda
0,not answer call unit never worked
